Zip Codes,num of school,OverallScore,OverallRating,avg score,AvgOverallRating
75110,1,.,Not Rated,0,F
77002,2,.,Not Rated,48.5,F
77003,4,97,A,96.5,A
77004,13,88,B,74.69,C
77005,1,95,A,95,A
77006,2,95,A,95,A
77007,3,84,B,91.33,A
77008,7,90,A,92.29,A
77009,11,89,B,78.73,C
77011,9,87,B,87.44,B
77012,11,95,A,90.45,A
77013,4,87,B,87,B
77014,3,87,B,84.33,B
77015,11,82,B,86.27,B
77016,3,85,B,72.67,C
77017,10,87,B,86.7,B
77018,8,91,A,75.13,C
77019,4,85,B,93.5,A
77020,12,.,Not Rated,79.08,F
77021,7,77,C,83,B
77022,9,.,Not Rated,77.22,C
77023,10,82,B,80.6,B
77024,10,.,Not Rated,75.1,C
77025,6,87,B,87.5,B
77026,7,84,B,82.14,B
77028,5,85,B,79.2,F
77029,5,92,A,88.8,B
77030,2,97,A,97.5,A
77031,2,86,B,86,B
77032,6,87,B,77.83,C
77033,7,89,B,69,F
77034,8,89,B,85.88,B
77035,6,90,A,85.67,B
77036,8,75,C,84.75,B
77037,7,85,B,82.43,B
77038,9,79,C,85.44,B
77039,14,80,B,79.79,F
77040,8,87,B,86,B
77041,4,95,A,86.75,B
77042,4,84,B,77.75,C
77043,6,78,C,83.5,B
77044,14,86,B,81.36,B
77045,8,82,B,75.13,C
77047,5,44,Not Rated: Senate Bill 1365,69.8,F
77048,4,85,B,77.75,C
77049,18,84,B,66.56,D
77050,3,85,B,56,F
77051,7,84,B,78.86,C
77053,2,78,C,83.5,B
77054,8,.,Not Rated,10.75,F
77055,9,87,B,86,B
77056,3,97,A,90,A
77057,6,96,A,86.5,B
77060,6,87,B,84.5,B
77061,6,86,B,85.83,B
77063,5,85,B,87.8,B
77064,7,85,B,88,B
77065,4,89,B,63.25,D
77066,6,73,C,79.17,F
77067,8,68,Not Rated: Senate Bill 1365,76.38,C
77068,2,76,C,76,C
77069,1,77,C,77,C
77070,8,69,Not Rated: Senate Bill 1365,78.88,C
77071,4,87,B,83.25,B
77072,16,78,C,59.81,F
77073,8,75,C,67.25,D
77074,15,85,B,74.07,C
77075,8,.,Not Rated,75.63,C
77076,10,75,C,84.1,B
77077,7,86,B,87.57,B
77078,2,74,C,74,C
77079,10,91,A,89.5,F
77080,12,86,B,81.5,B
77081,16,95,A,82.25,B
77082,8,89,B,88,B
77083,10,91,A,77.7,C
77084,15,87,B,85.4,B
77085,5,89,B,91.6,A
77086,7,90,A,85,B
77087,8,.,Not Rated,76.75,C
77088,16,80,B,83.44,B
77089,11,98,A,86.82,B
77090,12,84,B,83.42,B
77091,9,82,B,76.89,C
77092,8,79,C,70.5,C
77093,11,83,B,84.91,B
77095,10,88,B,87.8,B
77096,9,89,B,85.22,B
77098,3,90,A,89.33,F
77099,14,79,C,80.57,B
77336,4,87,B,82.75,B
77338,14,81,B,72.29,C
77339,8,85,B,84.5,B
77345,6,84,B,88.67,B
77346,15,.,Not Rated,72.73,C
77355,1,85,B,85,B
77373,17,85,B,81.82,B
77375,13,75,C,89.62,F
77377,10,93,A,92.2,A
77379,18,.,Not Rated,78.56,C
77388,7,94,A,87.57,B
77389,9,84,B,88.67,B
77396,9,85,B,82.33,B
77401,5,92,A,92.8,A
77423,1,83,B,83,B
77429,14,82,B,92.57,A
77433,20,93,A,90.8,A
77441,1,97,A,97,A
77449,26,93,A,85.08,B
77450,14,78,C,89.36,F
77478,2,97,A,96,A
77493,15,91,A,62.53,D
77494,27,94,A,95.07,A
77498,1,94,A,94,A
77502,12,87,B,82.17,B
77503,11,83,B,69.45,F
77504,8,90,A,88.5,B
77505,4,88,B,90.75,A
77506,9,86,B,82.67,B
77520,13,80,B,83.54,B
77521,13,89,B,76.92,C
77530,10,84,B,83.5,B
77532,8,86,B,82.63,B
77536,10,.,Not Rated,80.3,B
77547,4,91,A,90,A
77562,4,.,Not Rated,58.25,F
77571,12,89,B,69.83,F
77586,1,.,Not Rated,0,F
77587,6,82,B,81.83,B
77706,1,91,A,91,A
77802,1,71,C,71,C
78520,1,93,A,93,A
